Library books:
- The Great Gatsby, 1925, Fiction, Shelf1, true, F. Scott Fitzgerald, 978-0743273565, 180
- To Kill a Mockingbird, 1960, Fiction, Shelf2,true, Harper Lee, 978-0061120084, 281
- 1984, 1949, Dystopian, Shelf3, true, George Orwell, 978-0451524935, 328
- Pride and Prejudice, 1813, Romance, Shelf4, true, Jane Austen, 978-1612930349, 279
- The Catcher in the Rye, 1951, Fiction, Shelf5,true, J.D. Salinger, 978-0316769480, 224
- The Hobbit, 1937, Fantasy, Shelf6, true, J.R.R. Tolkien, 978-0547928227, 310
- One Hundred Years of Solitude, 1967, Magical Realism, Shelf7, true, Gabriel Garcia Marquez, 978-0060883287, 417
- The Great Expectations, 1861, Fiction, Shelf8, true, Charles Dickens, 978-0141439563, 505
- The Lord of the Rings, 1954, Fantasy, Shelf9, true, J.R.R. Tolkien, 978-0544003415, 1178
- The Da Vinci Code, 2003, Mystery, Shelf10,false, Dan Brown, 978-0307474278, 597
- Harry Potter and the Sorcerer's Stone, 1997, Fantasy, Shelf11, true, J.K. Rowling, 978-0590353427, 309
- The Chronicles of Narnia, 1950, Fantasy, Shelf12, true, C.S. Lewis, 978-0066238500, 767
- Brave New World, 1932, Dystopian, Shelf13, true, Aldous Huxley, 978-0060850524, 288
- The Shining, 1977, Horror, Shelf14, true, Stephen King, 978-0307743657, 447
- Moby-Dick, 1851, Adventure, Shelf15, true, Herman Melville, 978-0142437247, 720
